Speaker,Text
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","instruments, it's going to increase the cost. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","These are, of course, large- dollar "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","instruments, and so the money is much larger. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                     
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2 3 4 5   6   7   8 9 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12  13    14 15  16  17  18  19 20  21  22  23  24  25  19 Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","And so there's a much better -- you know, a much "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","better incentive, particularly for the reasons, Justice Alito, you wrote about in Yee, to try and collect and find the rightful owners of this"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", property.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", CHIEF JUSTICE ROBERTS: How -- how
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", much --what's the comparison in terms of total 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","value? I mean, I understand your point that the traveler's checks, the money orders, sm all, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","small amounts, the official checks, the agent checks, and the teller checks not limited, but how many of each are there?  Where -- where is "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",-- where is all the money? Is it the money orders and traveler's checks or the big bank check -- checks? 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","MR. KATYAL: Yeah, Your Honor, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","unfortunately, the record I don't believe gives us any quantification of that. We do know that in 1974 the typical money order was between $1 and $25.  And there's other evidence about that. And even up to today, MoneyGram, for example, limits money or -- money orders to a thousand dollars and the like. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","CHIEF JUSTICE ROBERTS: Yeah, but the "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",question there I guess is how many of them there 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4   5   6   7   8   9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11 12  13  14  15  16  17  18  19  20  21  22 23  24  25  20Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",are.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", MR. KATYAL: Correct.  And I -- we
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," don't have information about that.  I think Congress wasn't concerned as much with overall dollars as they were with the small denominations and the fact that address requirements would impose a much bigger burden compared to the benefit you'd get, whereas here, you know, I think with -- for these things, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","teller's checks existed in 1974. Bank checks and, you know, agent checks existed just by a different name in 1974. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Congress pointedly didn't enumerate 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","any of that in the statute.  They used, to use Justice Gorsuch's convoluted --phrase from the "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","first argument, convoluted. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","(Laughter.) MR. KATYAL: Sorry, Justice.  You --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","you called -- you called Congress's action in the last argument ""convoluted.""  And I think that's right here, that if -- if their argument "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","is right, Congress chose a really weird way of going about it. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",JUSTICE GORSUCH:  All right.  I was 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",sitting here quietly. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3 4   5   6   7 8   9 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  21Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",(Laughter.)
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", JUSTICE GORSUCH:  But now you've drawn 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","me out, Mr. Katy al."
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," Other similar instruments, the"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," language Justice Thomas -- I've got a question,"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," fine, I'll come up with one, all right.  What "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",does it mean on your account?
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," And on page 44 of your brief, it says "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","that ""Congress likely intended the term 'other similar written instrument' to capture alternate spellings of 'money order' and 'traveler's check,' such as ... American Express 'Travelers Cheque.'""  Q-U- E. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Okay. Now I am familiar with various 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","spellings of ""traveler's check."" I am not familiar with various spellings of ""money order.""  Help me out. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",MR. KATYAL: Yes.  So exactly -- one 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","category is exactly what Justice Thomas began the argument with, which is a money order in every way, shape, and form, except it doesn't have the label on it. So our argument is not limited, Justice Gorsuch, to different spellings. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Same product without the label is what 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                    
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                    
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3 4 5   6 7 8   9 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11 12  13  14  15  16  17  18 19 20  21  22        23  24  25  22 Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",an other similar instrument is. That's one
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," category.  Another category are things, I think "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","generic products, so just like a copy is called a Xerox, I think Congress in 1974 was worried"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", that a traveler's check might be called an AMEX 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",or worried that a money order might be called a Western Union. That's a second category.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", And then a third category of other 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",similar instruments are some of the things that have been bandied about in this litigation and in the briefs. So there's something called an agent check money order.  There's something called a personal money order.  That's in o ur 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",appendix at page 381. There's something called a bank money order.  There's something --
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",JUSTICE GORSUCH:  I take your point. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","Okay. But does it underline another point that may be problematic, and that is that labels cannot control substance in our analysis here? We --can we agree on that? "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",MR. KATYAL: We do. JUSTICE GORSUCH:  Okay. MR. KATYAL: And -- and so our point 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","is labels are very good at deciding traveler's check, money order.  And they're good not just "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4   5   6   7   8   9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11  12  13  14  15  16 17  18  19    20  21  22  23  24  25  23Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",for courts.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," JUSTICE GORSUCH:  Well, I guess I'm"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", wondering why -- why they're good for some purposes b ut not others?
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", MR. KATYAL: Because I think it
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," reflects, Justice Gorsuch --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","JUSTICE GORSUCH:  I mean, you like --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",you don't like labels when it comes to this
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", little -- this little exception here. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","MR. KATYAL: Oh, it's not that we "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","don't like them, Justice --"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","JUSTICE GORSUCH:  But --well, but if "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","I -- if I might just finish, I mean, then -- and "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","then have at it, okay? But you --you admit "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","that labels can control for some purposes, but yet you do ask us to place quite a lot of weight on ""money order"" versus ""traveler's check"" otherwise.  And -- and so I'm just -- I'm -- I'm "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",-- I'm stuck there. So help me out. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",MR. KATYAL: Yeah.  So we -- we think 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",the labels matter because they matter --they're 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","not just for courts.  They're, after all, for banks and consumers.  Banks have to figure out, you know, what is this product and where do --which state do we escheat it to? And labels are "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                          
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3 4   5   6   7 8 9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10  11 12  13  14  15 16  17  18  19  20  21  22  23 24  25  24 Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","a really good way to do that, as opposed to some"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", convoluted eight -factor test where you've got to 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","have law professors testifying about experts,"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", about what -- whether something is a money order or not. 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","So we think labels in general work, "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",but Congress was concerned about more than that. And that's what I was saying to Justice Thomas.
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ."," And so that's what ""other similar written "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","instrument"" does. It's labels for the first part but not for the second part. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",And I think Congress in 1974 had 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","examples of statutes in which other products were enumerated.  So our brief cites, for example, 26 U.S.C. 6311, which is a 1970 statute which refers to ""any certified, treasurer's, or cashier's check ... or any money order,"" I think demonstrating that Congress knew -- thought money orders were distinct from these other products. "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",If you adopt my friend's 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.","interpretation, cashier's checks, certified checks, all of those become money orders because they are all instrupents --instruments that "
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",prepay money.  And as the American Bar 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
